Pos,ID,Name,BV,SV,Team,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts,Elite%
M,1,Fábio Vieira,5.4,5.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,2,G.Jesus,6.5,6.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,3,Gabriel,6.4,6.2,Arsenal,91,4.76,87,3.93,84,4.24,83,5.98,81,2.50,81,3.94,81,3.06,81,3.80,81,4.59,0.89
F,4,Havertz,7.7,7.7,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,5,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,6,J.Timber,5.6,5.6,Arsenal,77,3.97,74,3.40,69,3.52,66,4.70,65,2.00,62,3.07,60,2.32,59,2.80,60,3.36,0.06
M,7,Jorginho,4.7,4.7,Arsenal,12,0.50,15,0.61,15,0.66,16,0.91,17,0.43,16,0.68,19,0.76,17,0.72,18,0.77,0.00
D,8,Kiwior,4.8,4.8,Arsenal,2,0.06,4,0.12,6,0.21,7,0.37,8,0.18,8,0.30,9,0.27,10,0.36,8,0.35,0.00
M,9,Martinelli,6.5,6.5,Arsenal,78,4.74,73,4.06,67,4.45,65,5.54,67,2.41,65,4.01,67,3.25,64,3.75,67,4.56,0.00
M,10,Nelson,5.0,5.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,17,0.83,0.00
F,11,Nketiah,5.9,5.9,Crystal Palace,49,2.90,39,2.02,26,2.66,26,1.94,27,0.70,31,1.74,30,1.96,30,1.56,30,1.37,0.00
M,12,Nwaneri,4.6,4.5,Arsenal,53,3.01,51,2.69,45,2.79,43,3.34,42,1.38,42,2.31,41,1.96,43,2.32,42,2.56,0.11
M,13,Ødegaard,8.2,8.2,Arsenal,89,5.27,85,4.54,84,4.96,82,6.07,81,2.50,82,4.08,80,3.37,79,3.91,79,4.52,0.10
G,14,Ramsdale,4.4,4.4,Southampton,94,3.14,93,3.07,93,3.12,93,4.38,92,1.25,92,3.43,91,3.33,92,3.14,92,2.91,0.00
G,15,Raya,5.5,5.5,Arsenal,94,4.34,94,4.03,93,4.09,92,5.80,91,2.48,90,3.95,90,3.71,91,3.87,90,4.36,0.20
M,16,Rice,6.2,6.2,Arsenal,83,3.21,81,2.99,80,3.33,77,4.19,76,1.80,77,2.96,75,2.53,74,2.76,75,3.15,0.00
M,17,Saka,10.2,10.2,Arsenal,9,0.68,25,1.61,53,4.07,67,6.47,74,3.12,81,5.67,82,4.44,80,5.29,77,6.02,0.00
D,18,Saliba,6.2,6.1,Arsenal,91,4.57,88,3.84,86,4.06,84,5.79,83,2.50,83,3.90,84,3.01,83,3.74,83,4.45,0.04
M,19,Smith Rowe,5.1,5.1,Fulham,66,2.46,59,2.57,58,2.63,54,3.86,53,1.19,52,2.60,53,3.57,52,2.17,50,2.40,0.00
M,20,Thomas,4.9,4.9,Arsenal,73,2.59,72,2.41,69,2.59,67,3.30,64,1.37,64,2.27,63,1.96,63,2.14,64,2.46,0.00
D,21,Tierney,4.3,4.3,Arsenal,3,0.15,4,0.18,4,0.22,5,0.31,6,0.17,6,0.28,6,0.24,7,0.32,7,0.37,0.00
D,22,Tomiyasu,4.8,4.8,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,23,Trossard,6.8,6.8,Arsenal,72,4.64,69,4.00,64,4.43,61,5.43,60,2.27,60,3.83,59,2.99,59,3.58,60,4.33,0.18
D,24,White,6.1,6.1,Arsenal,25,1.19,30,1.28,36,1.72,41,2.80,45,1.31,50,2.39,50,1.88,49,2.25,49,2.67,0.00
D,25,Zinchenko,4.8,4.8,Arsenal,12,0.58,15,0.68,14,0.73,16,1.11,17,0.51,15,0.77,17,0.74,17,0.86,17,0.94,0.00
D,26,Alex Moreno,4.2,4.2,Nott'm Forest,9,0.40,0,0.00,14,0.66,16,0.67,16,0.43,19,0.83,18,1.24,19,0.73,19,0.77,0.00
